1|1|Margarita|2020|historiallinen romaani|5|23.02.2022|
2|2|Margarita|2020|historiallinen romaani|5|23.02.2022|
3|2|Margarita|2020|historiallinen romaani|5|23.02.2022|
4|2|Margarita|2020|historiallinen romaani|5|23.02.2022|
5|2|Margarita|2020|historiallinen romaani|5|23.02.2022|
6|2|Margarita|2020|historiallinen romaani|5|23.02.2022|
7|2|Margarita|2020|historiallinen romaani|5|23.02.2022|
8|3|Margarita|2020|historiallinen romaani|5|23.02.2022|
9|3|Margarita|2020|historiallinen romaani|5|23.02.2022|
10|3|Margarita|2020|historiallinen romaani|5|23.02.2022|
11|3|Margarita|2020|historiallinen romaani|5|23.02.2022|Todellinen helmi, voitti Finlandia-palkinnon
12|3|Margarita|2020|historiallinen romaani|5|23.02.2022|Todellinen helmi, voitti Finlandia-palkinnon
13|1|Katabasis|2025|dark academia|5|1.3.2025|tykkäsin uudesta tavasta kuvata manalaa
